Departure_Indicator,Distance,Angle Sum,nArrOut,nArrIn,nDepOut,nDepIn,Temperature,Wind Speed,Visibility
0,7100.0,270.0,8,2,12,1,64.0,6.9,10.0
0,4630.0,300.0,7,1,11,2,64.0,6.9,10.0
0,11370.0,360.0,7,2,5,0,64.0,6.9,10.0
0,9420.0,350.0,7,2,15,1,64.0,6.9,10.0
0,6390.0,270.0,8,1,0,0,64.0,6.9,10.0
0,5530.0,270.0,6,2,12,0,64.0,6.9,10.0
0,5530.0,270.0,6,2,4,0,64.0,6.9,10.0
0,7100.0,270.0,6,3,3,1,64.0,6.9,10.0
0,4630.0,300.0,5,2,13,1,64.0,6.9,10.0
0,9420.0,350.0,5,2,9,1,64.0,6.9,10.0
0,8560.0,320.0,4,2,7,2,64.0,6.9,10.0
0,4630.0,300.0,7,2,10,3,64.0,6.9,10.0
0,4540.0,270.0,7,3,14,2,64.0,6.9,10.0
0,11370.0,360.0,7,3,10,3,64.0,6.9,10.0
0,9420.0,350.0,6,4,8,2,64.0,6.9,10.0
0,4630.0,300.0,7,3,11,2,64.0,6.9,10.0
0,9420.0,350.0,9,0,12,2,64.0,6.9,10.0
0,7100.0,270.0,9,1,7,1,64.0,8.05,10.0
0,4540.0,270.0,8,1,14,1,64.0,8.05,10.0
0,8560.0,320.0,7,1,12,2,64.0,8.05,10.0
0,8560.0,320.0,8,2,11,2,64.0,8.05,10.0
0,7100.0,270.0,7,1,4,0,64.0,8.05,10.0
0,4540.0,270.0,6,2,8,1,64.0,8.05,10.0
0,7100.0,270.0,6,2,8,1,64.0,8.05,10.0
0,7100.0,270.0,4,2,8,1,64.0,8.05,10.0
0,9420.0,350.0,4,2,17,4,64.0,8.05,10.0
0,7100.0,270.0,4,2,12,2,64.0,8.05,10.0
0,7100.0,270.0,1,3,14,3,64.0,8.05,10.0
0,5530.0,270.0,3,2,9,4,64.0,8.05,10.0
0,7100.0,270.0,5,1,17,5,64.0,8.05,10.0
0,4630.0,300.0,5,1,9,0,64.0,8.05,10.0
0,4630.0,300.0,6,2,9,0,64.0,8.05,10.0
0,8560.0,320.0,6,3,11,2,64.0,8.05,10.0
0,5530.0,270.0,6,3,1,0,64.0,8.05,10.0
0,11370.0,360.0,7,3,0,0,64.0,8.05,10.0
0,5530.0,270.0,8,1,0,0,64.9,6.9,10.0
0,9420.0,350.0,9,1,14,1,64.9,6.9,10.0
0,8560.0,320.0,10,1,11,2,64.9,6.9,10.0
0,7100.0,270.0,12,1,12,2,64.9,6.9,10.0
0,9420.0,350.0,13,1,11,1,64.9,6.9,10.0
0,4630.0,300.0,10,1,3,4,64.9,6.9,10.0
0,4630.0,300.0,10,2,12,3,64.9,6.9,10.0
0,5530.0,270.0,6,2,13,3,64.9,6.9,10.0
0,6390.0,270.0,6,2,1,0,64.9,6.9,10.0
0,7100.0,270.0,7,2,11,0,64.9,6.9,10.0
0,4630.0,300.0,7,3,9,0,64.9,6.9,10.0
0,11370.0,360.0,7,4,0,0,64.9,6.9,10.0
0,7100.0,270.0,7,4,9,2,64.9,6.9,10.0
0,9420.0,350.0,6,5,7,1,64.9,6.9,10.0
0,8560.0,320.0,6,5,12,2,64.9,6.9,10.0
0,11370.0,360.0,6,5,0,0,64.9,6.9,10.0
0,9420.0,350.0,5,4,10,3,64.9,6.9,10.0
0,4630.0,300.0,5,5,11,0,64.9,6.9,10.0
0,6390.0,270.0,3,6,0,0,64.9,6.9,10.0
0,4630.0,300.0,2,5,6,2,64.9,6.9,10.0
0,7100.0,270.0,6,3,7,2,66.0,4.6,10.0
0,11230.0,395.0,6,1,3,1,66.0,4.6,10.0
0,5561.0,200.0,6,1,5,0,66.0,4.6,10.0
0,11230.0,395.0,5,1,2,3,66.0,4.6,10.0
0,5561.0,200.0,5,2,10,0,66.0,4.6,10.0
0,8100.0,275.0,6,3,12,3,66.0,4.6,10.0
0,6240.0,275.0,8,4,0,0,66.0,4.6,10.0
0,4110.0,320.0,7,4,3,3,66.0,4.6,10.0
0,11230.0,395.0,6,5,4,3,66.0,4.6,10.0
0,5540.0,275.0,6,5,10,0,66.0,4.6,10.0
0,7100.0,275.0,6,5,2,3,66.0,4.6,10.0
0,6240.0,275.0,6,5,6,1,66.0,4.6,10.0
0,5540.0,275.0,6,6,16,3,66.0,4.6,10.0
0,5561.0,200.0,4,6,4,3,66.0,4.6,10.0
0,7100.0,275.0,5,4,0,0,66.0,4.6,10.0
0,6520.0,290.0,4,4,1,0,66.0,4.6,10.0
0,6520.0,290.0,4,5,4,1,66.0,4.6,10.0
